LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2012060100  1657275      10.70     129.97  1
        2012060103  1664762      10.85     129.66  1
        2012060106  1669713      11.05     129.16  1
        2012060109  1666964      11.27     128.70  1
        2012060112  1700514      11.49     128.22  1
        2012060115  1822521      11.77     127.74  1
        2012060118  1922000      12.01     127.23  1
        2012060121  1989744      12.12     126.94  1
        2012060200  1991850      12.25     126.74  1
        2012060203  2209945      12.53     126.15  1
        2012060206  3158791      11.46     122.70  1
        2012060209  3519420      11.38     121.74  1
        2012060212  3767169      11.45     121.23  1
        2012060215  4347963      12.36     121.32  1
        2012060218  4702031      12.51     120.74  1
        2012060221  4710985      12.49     120.32  1
        2012060300  4441156      11.29     119.00  1
        2012060303  4572965      11.39     118.97  1
        2012060306  4970833      12.38     119.83  1
        2012060309  4926235      12.03     119.39  1
        2012060312  4946633      12.11     119.55  1
        2012060315  5113494      12.35     119.93  1
        2012060318  5320903      12.63     120.34  1
        2012060321  7691742      10.87     126.65  1
        2012060400  9744993      12.29     121.14  1
        2012060403 10062315      12.11     121.48  1
        2012060406 10300689      11.90     121.49  1
        2012060409 10308168      11.79     121.64  1
        2012060412 10194624      11.63     122.42  1
        2012060415 10299124      11.58     122.76  1
        2012060418 10435511      11.54     122.71  1
        2012060421 10397457      11.54     122.51  1
        2012060500 10374974      11.53     123.07  1
        2012060503 10479005      11.56     123.54  2
        2012060506 10680154      11.46     123.48  2
        2012060509 10646085      11.32     123.57  2
        2012060512 10652578      11.01     123.77  2
        2012060515 10852667      11.10     124.02  2
        2012060518 11014852      11.03     124.19  2
        2012060521 10615868      10.69     124.36  2
        2012060600 10476449      10.27     124.32  1
        2012060603  9094816       7.33     122.60  1
        2012060606  9146263       7.00     122.08  1
        2012060609  9224041       6.69     121.67  1
        2012060612  9299362       6.36     121.77  1
        2012060615  9570841       5.95     122.29  1
        2012060618  5146944       1.32     139.11  1
        2012060621  5038944       0.79     140.37  1
        2012060700  5063223       0.50     141.54  1
        2012060703  5020835       0.07     142.93  1
        2012060706  4957314      -0.42     144.45  1
        2012060709  4782219      -1.01     146.02  1
        2012060712  4731452      -1.55     147.66  1
        2012060715  4883204      -2.01     149.57  1
        2012060718  5005096      -2.18     150.59  1
        2012060721  4991731      -2.32     152.10  1
        2012060800  5184618      -2.21     152.92  1
        2012060803  5191100      -2.16     153.92  1
        2012060806  5148373      -2.14     154.76  1
        2012060809  5077684      -2.10     155.39  1
        2012060812  5096329      -2.00     155.83  1
        2012060815  5289485      -1.97     156.23  1
        2012060818  5324802      -1.90     156.58  1
        2012060821  5348164      -1.91     156.92  1
        2012060900  5423459      -1.87     157.15  1
        2012060903  5475465      -1.84     157.49  1
        2012060906  5497718      -1.80     157.85  1
        2012060909  5456102      -1.71     158.14  1
        2012060912  5409758      -1.60     158.43  1
        2012060915  5362529      -1.47     158.79  1
        2012060918  5092984      -1.19     159.22  1
        2012060921  4940445      -0.95     159.54  1
        2012061000  4604663      -0.62     159.71  1
        2012061003  4171583      -0.08     159.96  1
        2012061006  3356497       1.34     160.17  1
        2012061009  2690412       2.68     160.63  1
        2012061012  2408650       2.91     160.78  1
        2012061015  2129450       2.94     160.62  1
        2012061018  1586292       3.26     160.30  1
        2012061021  1093775       3.52     159.55  1
        2012061100   337606       3.92     158.05  1
LPT     1.0100
        2012060100  1848726      -2.63      94.98  1
        2012060103  1871036      -2.67      95.05  1
        2012060106  1940122      -2.79      95.00  1
        2012060109  1999343      -2.80      95.02  1
        2012060112  2055460      -2.83      94.96  1
        2012060115  2103074      -2.88      95.02  1
        2012060118  2178296      -2.98      95.04  1
        2012060121  2253432      -3.09      95.07  1
        2012060200  2228612      -3.20      95.16  1
        2012060203  2097591      -3.33      95.20  1
        2012060206  1971294      -3.39      95.19  1
        2012060209  1741978      -3.49      95.29  1
        2012060212  1495885      -3.47      95.45  1
        2012060215  1312720      -3.50      95.67  1
        2012060218  1227245      -3.57      95.92  1
        2012060221  1084468      -3.90      96.03  1
        2012060300   867910      -4.18      96.05  1
        2012060303   722124      -4.53      95.98  1
        2012060306   613428      -4.77      95.88  1
        2012060309   513195      -5.06      95.96  1
        2012060312   386161      -5.26      95.99  1
        2012060318   343675      -5.60      96.13  1
        2012060321   433527      -5.69      96.29  1
        2012060400   444959      -5.81      96.35  1
        2012060403   475605      -5.91      96.43  1
        2012060406   480202      -5.92      96.45  1
        2012060409   443403      -5.84      96.58  1
        2012060412   415765      -5.81      96.66  1
        2012060415   385068      -5.76      96.81  1
        2012060418   398150      -5.73      97.06  1
        2012060421   414340      -5.65      97.40  1
        2012060500   376711      -5.62      97.66  1
        2012060503   393665      -5.55      97.93  1
        2012060506   400635      -5.47      98.12  1
        2012060509   463048      -5.27      98.38  1
        2012060512   491613      -5.12      98.55  1
        2012060515   524764      -5.01      98.62  1
        2012060518   562586      -4.84      98.72  1
        2012060521   511868      -4.76      98.88  1
        2012060600   443443      -4.68      99.10  1
        2012060603   442729      -4.59      99.36  1
        2012060606   387357      -4.49      99.63  1
        2012060609   393619      -4.27      99.90  1
        2012060612   319724      -4.19     100.21  1
        2012060615   312062      -4.07     100.37  1
        2012060618  4820999       9.79     102.49  1
        2012060621  4586968      10.55     102.47  1
        2012060700  4553616      10.63     102.20  1
        2012060703  4438618      10.62     101.77  1
        2012060706  4527526      10.78     101.60  1
        2012060709  4510292      10.98     101.22  1
        2012060712  4497670      11.15     101.01  1
        2012060715  4521193      11.31     100.78  1
        2012060718  4594060      11.43     100.53  1
        2012060721  4411975      11.48      99.98  1
        2012060800  4116008      11.52      99.22  1
        2012060803  4041747      11.47      98.84  1
        2012060806  3966731      11.56      98.40  1
        2012060809  3884267      11.62      98.22  1
        2012060812  3759792      11.68      98.02  1
        2012060815  3738270      11.86      97.68  1
        2012060818  3806581      11.96      97.63  1
        2012060821  3791516      12.22      97.39  1
        2012060900  3774833      12.34      97.19  1
        2012060903  3909388      12.38      96.97  1
        2012060906  4071106      12.45      96.88  1
        2012060909  4042979      12.71      96.65  1
        2012060912  3932756      13.02      96.24  1
        2012060915  3867064      13.14      95.81  1
        2012060918  3959886      13.14      95.58  1
        2012060921  3940927      13.31      95.27  1
        2012061000  3892945      13.40      94.95  1
        2012061003  3967300      13.34      94.62  1
        2012061006  3983213      13.41      94.23  1
        2012061009  3925868      13.38      93.79  1
        2012061012  3709020      13.39      93.34  1
        2012061015  3621969      13.34      93.06  1
        2012061018  3508501      13.28      92.83  1
        2012061021  3327512      13.32      92.50  1
        2012061100  3205327      13.31      92.25  1
        2012061103  3144735      13.32      92.08  1
        2012061106  3015088      13.37      91.85  1
        2012061109  2870173      13.32      91.59  1
        2012061112  2710928      13.21      91.33  1
        2012061115  2566517      13.03      91.09  1
        2012061118  2359197      12.72      90.93  1
        2012061121  2238272      12.60      90.71  1
        2012061200  2101155      12.41      90.52  1
        2012061203  2024785      12.39      90.37  1
        2012061206  1764694      12.28      90.41  1
        2012061209  1593515      12.24      90.40  1
        2012061212  1454517      12.20      90.25  1
        2012061215  1255693      12.06      90.13  1
        2012061218  1076993      12.09      89.97  1
        2012061221   890086      12.30      89.74  1
        2012061300   658120      12.53      89.44  1
        2012061303   491160      12.76      89.23  1
LPT     2.0100
        2012060915   308232       8.15     254.96  1
        2012060918   490075       8.25     255.04  1
        2012060921   643555       8.32     254.86  1
        2012061000   700029       8.35     254.73  1
        2012061003   790814       8.40     254.54  1
        2012061006   859425       8.45     254.42  1
        2012061009   890633       8.49     254.47  1
        2012061012   875998       8.55     254.47  1
        2012061015   888877       8.59     254.48  1
        2012061018   877249       8.67     254.45  1
        2012061021   901417       8.77     254.17  1
        2012061100   863860       8.85     254.02  1
        2012061103   835491       8.91     253.89  1
        2012061106   876563       8.96     253.78  1
        2012061109   910720       9.02     253.67  1
        2012061112   902026       9.14     253.63  1
        2012061115   908712       9.20     253.70  1
        2012061118   967178       9.27     253.80  1
        2012061121   974597       9.35     253.98  1
