LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2000061709  5721698      14.77     108.33  1
        2000061712  5635863      14.71     107.87  1
        2000061715  5499227      14.54     107.52  1
        2000061718  5355376      14.40     107.18  1
        2000061721  5266218      14.43     106.94  1
        2000061800  5212841      14.55     106.61  1
        2000061803  5005689      14.54     106.46  1
        2000061806  4887965      14.67     106.45  1
        2000061809  4926394      14.90     106.22  1
        2000061812  4556031      15.01     106.28  1
        2000061815  4260403      15.12     106.41  1
        2000061818  4124412      15.34     106.41  1
        2000061821  4150712      15.40     105.74  1
        2000061900  4049887      15.36     104.94  1
        2000061903  2838026      13.26     100.10  1
        2000061906  2546393      13.05      99.16  1
        2000061909  2323539      13.20      98.66  1
        2000061912  2033766      13.39      98.30  1
        2000061915  1690240      13.23      98.19  1
        2000061918  1437571      13.70      97.72  1
        2000061921  1250511      14.31      97.19  1
        2000062000   993710      14.85      96.53  1
        2000062003   504279      16.15      95.22  1
LPT     1.0200
        2000061009   426250      22.13      91.68  1
        2000061012   758193      22.05      91.63  1
        2000061015   821069      21.55      91.86  1
        2000061018   917169      21.43      92.02  1
        2000061021  1069603      21.19      92.06  1
        2000061100  1230149      20.98      92.07  1
        2000061103  1350529      20.95      92.05  1
        2000061106  1348931      21.06      91.87  1
        2000061109  1417494      21.11      91.77  1
        2000061112  1414199      21.01      91.73  1
        2000061115  1399794      20.78      91.76  1
        2000061118  1437922      20.63      91.79  1
        2000061121  1423218      20.43      91.61  1
        2000061200  1474860      20.24      91.57  1
        2000061203  1505758      20.04      91.65  1
        2000061206  1558138      19.94      91.75  1
        2000061209  1605535      19.91      91.83  1
        2000061212  1605949      20.02      91.86  1
        2000061215  1604830      20.20      92.03  1
        2000061218  1617732      20.29      92.13  1
        2000061221  1527562      20.06      92.15  1
        2000061300  1536807      20.08      92.21  1
        2000061303  1505188      20.07      92.25  1
        2000061306  1498212      20.12      92.27  1
        2000061309  1517247      20.10      92.35  1
        2000061312  1524699      20.08      92.43  1
        2000061315  1414532      20.10      92.53  1
        2000061318  1334384      20.24      92.57  1
        2000061321  1303351      20.23      92.61  1
        2000061400  1335755      20.25      92.79  1
        2000061403  1328101      20.21      92.88  1
        2000061406  1317534      20.01      92.95  1
        2000061409  1380508      19.84      93.13  1
        2000061412  1387492      19.79      93.31  1
        2000061415  1341534      19.83      93.37  1
        2000061418  1308131      19.84      93.50  1
        2000061421  1305166      19.75      93.50  1
        2000061500  1393831      19.65      93.63  1
        2000061503  1392891      19.60      93.61  1
        2000061506  1339555      19.55      93.61  1
        2000061509  1508378      19.44      93.84  1
        2000061512  1555225      19.26      94.18  1
        2000061515  1545800      18.88      94.66  1
        2000061518  5621322      18.08     114.66  1
        2000061521  5658916      17.69     114.79  1
        2000061600  5711044      17.40     114.60  1
        2000061603  5643077      17.09     114.42  1
        2000061606  5723564      16.79     114.09  1
        2000061609  5806607      16.43     113.56  1
        2000061612  5838019      16.15     113.00  1
        2000061615  5757644      15.87     112.62  1
        2000061618  5720843      15.67     111.95  1
        2000061621  5725323      15.41     110.99  1
        2000061700  5743198      15.14     109.98  1
        2000061703  5694979      14.98     109.24  1
        2000061706  5698933      14.85     108.72  1
        2000061709  5721698      14.77     108.33  1
        2000061712  5635863      14.71     107.87  1
        2000061715  5499227      14.54     107.52  1
        2000061718  5355376      14.40     107.18  1
        2000061721  5266218      14.43     106.94  1
        2000061800  5212841      14.55     106.61  1
        2000061803  5005689      14.54     106.46  1
        2000061806  4887965      14.67     106.45  1
        2000061809  4926394      14.90     106.22  1
        2000061812  4556031      15.01     106.28  1
        2000061815  4260403      15.12     106.41  1
        2000061818  4124412      15.34     106.41  1
        2000061821  4150712      15.40     105.74  1
        2000061900  4049887      15.36     104.94  1
        2000061903  2838026      13.26     100.10  1
        2000061906  2546393      13.05      99.16  1
        2000061909  2323539      13.20      98.66  1
        2000061912  2033766      13.39      98.30  1
        2000061915  1690240      13.23      98.19  1
        2000061918  1437571      13.70      97.72  1
        2000061921  1250511      14.31      97.19  1
        2000062000   993710      14.85      96.53  1
        2000062003   504279      16.15      95.22  1
LPT     2.0100
        2000061618   522343       8.13     275.06  1
        2000061621   685350       8.04     274.89  1
        2000061700  1068462       8.01     274.08  1
        2000061703  2095849       5.76     277.50  1
        2000061706  2751823       5.04     278.45  1
        2000061709  3161199       4.77     278.67  1
        2000061712  3473022       4.55     278.77  1
        2000061715  3729625       4.55     278.55  1
        2000061718  3919647       4.45     278.56  1
        2000061721  4096651       4.25     279.02  1
        2000061800  4176023       4.22     279.17  1
        2000061803  4238064       4.15     279.24  1
        2000061806  4326439       4.11     279.47  1
        2000061809  4216329       4.09     279.74  1
        2000061812  4080164       4.05     280.11  1
        2000061815  4058539       4.18     279.97  1
        2000061818  4115673       4.33     279.93  1
        2000061821  4260616       4.61     279.77  1
        2000061900  4152197       5.33     278.93  1
        2000061903  4079272       5.54     278.72  1
        2000061906  4131257       5.99     277.94  1
        2000061909  4102797       6.47     277.16  1
        2000061912  3939787       6.97     276.40  1
        2000061915  2331481      11.40     267.65  1
        2000061918  2266217      11.81     266.82  1
        2000061921  2265659      12.13     266.13  1
        2000062000  2319815      12.31     265.57  1
        2000062003  2248534      12.37     264.80  1
        2000062006  2267290      12.47     264.08  1
        2000062009  2427789      12.37     263.54  1
        2000062012  2576150      12.36     262.97  1
        2000062015  2704089      12.35     262.42  1
        2000062018  2807495      12.38     262.05  1
        2000062021  2943299      12.40     261.80  1
        2000062100  3044616      12.42     261.64  1
        2000062103  3057974      12.32     261.39  1
        2000062106  3101012      12.36     261.22  1
        2000062109  3160782      12.34     261.11  1
        2000062112  3227525      12.35     260.98  1
        2000062115  3266395      12.36     260.82  1
        2000062118  3269231      12.37     260.65  1
        2000062121  3299185      12.37     260.47  1
        2000062200  3252412      12.37     260.23  1
        2000062203  3199353      12.35     259.94  1
        2000062206  3197209      12.34     259.94  1
        2000062209  3085417      12.26     259.66  1
        2000062212  3000766      12.18     259.45  1
        2000062215  2893353      12.16     259.35  1
        2000062218  2803518      12.20     259.27  1
        2000062221  2715702      12.25     259.20  1
        2000062300  2611001      12.33     259.11  1
        2000062303  2464452      12.39     258.90  1
        2000062306  2304293      12.47     258.81  1
        2000062309  2119296      12.47     258.73  1
        2000062312  1912298      12.49     258.63  1
        2000062315  1666562      12.55     258.46  1
        2000062318  1395118      12.64     258.22  1
        2000062321  1154412      12.77     257.99  1
        2000062400   889888      12.87     257.71  1
        2000062403   585047      12.90     257.30  1
LPT     3.0100
        2000062106   381564      -1.18     138.86  1
        2000062109   542216      -0.74     138.98  1
        2000062112   789264      -0.09     139.33  1
        2000062115  1161067       0.60     139.74  1
        2000062118  1446082       1.22     139.90  1
        2000062121  1696891       1.69     140.06  1
        2000062200  1945256       1.98     140.23  1
        2000062203  2199055       2.11     140.42  1
        2000062206  2456761       2.14     140.45  1
