LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2013060100  3220971      16.13     276.90  1
        2013060103  3069608      16.46     277.31  1
        2013060106  2812509      16.80     278.05  1
        2013060109  2465108      17.14     278.62  1
        2013060112  2123154      17.50     279.40  1
        2013060115  1855931      17.87     279.88  1
        2013060118  1531218      18.68     280.50  1
        2013060121  1245251      19.20     280.66  1
        2013060200  1015574      19.64     280.83  1
        2013060203   886393      19.76     280.63  1
        2013060206   750273      19.85     280.44  1
        2013060209   628207      19.70     279.74  1
        2013060212   601870      19.76     279.47  1
        2013060215   562305      19.85     279.14  1
        2013060218   521039      19.82     278.36  1
        2013060221   416532      19.79     277.48  1
        2013060300   308097      19.86     276.66  1
        2013060315   322850      20.10     275.49  1
        2013060318   318830      20.29     275.13  1
        2013060321   342596      20.35     274.79  1
        2013060409   379324      20.71     274.62  1
        2013060412   445241      20.89     274.66  1
        2013060415   607573      21.05     274.67  1
        2013060418   699013      21.05     274.64  1
        2013060421   824013      21.10     274.58  1
        2013060500   818579      21.17     274.58  1
        2013060503   815324      21.23     274.62  1
        2013060506   779855      21.41     274.79  1
        2013060509   869796      21.61     274.85  1
        2013060512   910410      21.76     274.90  1
        2013060515   976708      21.91     274.90  1
        2013060518  1038337      22.08     274.96  1
        2013060521  1084418      22.31     275.06  1
        2013060600  1134284      22.39     275.08  1
        2013060603  1153635      22.55     275.17  1
        2013060606  1132707      22.84     275.28  1
        2013060609  1171101      23.16     275.37  1
        2013060612  1209258      23.48     275.47  1
        2013060615  1263563      23.92     275.64  1
        2013060618  1280223      24.37     275.85  1
        2013060621  1273459      24.69     275.99  1
        2013060700  1241594      24.94     276.07  1
        2013060703  1223621      25.20     276.21  1
        2013060706  1240761      25.50     276.46  1
        2013060709  1221720      25.73     276.60  1
        2013060712  1146457      25.98     276.69  1
        2013060715  1099501      26.18     276.78  1
        2013060718  1004093      26.42     276.83  1
        2013060721   967647      26.65     276.86  1
        2013060800   873210      26.93     276.98  1
        2013060803   818456      27.08     277.04  1
        2013060806   721344      27.14     277.06  1
        2013060809   647749      27.16     277.06  1
        2013060812   468209      27.41     277.20  1
