begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2020060100    2025063023    5.1000         5   1486.00           -0.40  2020062416  2020082814                  579           1073       3.54     494.00  2020071819  2020080809                70.4          120.4
    2020060100    2025063023    7.1000         7    915.00            1.38  2020081617  2020092620                  167            481       3.67     314.00  2020082316  2020090518                62.3           94.8
    2020060100    2025063023    7.1000         7    915.00            1.38  2020081617  2020092620                  510            715       6.30     205.00  2020090623  2020091512                72.4          122.1
    2020060100    2025063023   11.1000        11    935.00           -1.21  2020091813  2020103012                  573            786       2.98     213.00  2020101210  2020102107               102.8          124.7
    2020060100    2025063023   15.1000        15    607.00            1.49  2020110623  2020120506                   79            572       2.72     493.00  2020111006  2020113019                66.8          106.6
    2020060100    2025063023   18.1000        18    609.00            1.66  2020120301  2020123110                  322            681       3.28     359.00  2020121611  2020123110               100.0          151.4
    2020060100    2025063023   19.2000        19    567.00            0.71  2020122718  2021012309                  306            500       4.55     194.00  2021010912  2021011714                94.8          127.5
    2020060100    2025063023   20.1000        20   1045.00            0.15  2021012102  2021030815                  109            433       3.90     324.00  2021012515  2021020803               133.2          179.9
    2020060100    2025063023   25.4000        25    766.00            1.34  2021032419  2021042817                  106            403       8.53     297.00  2021032905  2021041014                81.9          156.3
    2020060100    2025063023   28.1000        28    671.00            5.88  2021050511  2021060510                   73            743       5.88     670.00  2021050812  2021060510                51.2          168.5
    2020060100    2025063023   28.2000        28    658.00            1.92  2021050511  2021060421                  425            730       0.57     305.00  2021052304  2021060421                89.8          100.9
    2020060100    2025063023   33.7000        33   1158.00            1.50  2021062106  2021081112                  493            845       3.51     352.00  2021071119  2021072611                88.4          141.3
    2020060100    2025063023   33.7000        33   1158.00            1.50  2021062106  2021081112                  156            380       0.09     224.00  2021062718  2021070702                86.9          116.3
    2020060100    2025063023   37.1000        37    391.00            2.46  2021080419  2021082402                   73            463       2.45     390.00  2021080720  2021082402                72.1          113.0
    2020060100    2025063023   39.1000        39    478.00            2.37  2021082909  2021092107                  236            541       2.95     305.00  2021090805  2021092022                82.8          139.8
