begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2000060100    2005063023    1.1000         1    364.00            1.72  2000060723  2000062603                  175            414       1.14     239.00  2000061506  2000062505               254.9          281.9
    2000060100    2005063023    2.1000         2    855.00           -1.42  2000061621  2000072512                   74            307       3.59     233.00  2000061923  2000062916               103.6          140.2
    2000060100    2005063023    3.1000         3    251.00            5.53  2000072218  2000080505                   95            306       5.88     211.00  2000072617  2000080412                72.4          111.5
    2000060100    2005063023   11.1000        11    277.00            2.32  2000091003  2000092416                   73            309       2.94     236.00  2000091304  2000092300                68.4           93.6
    2000060100    2005063023   15.1000        15    623.00            0.10  2000092515  2000102414                  154            412       2.75     258.00  2000100201  2000101219                92.7          123.1
    2000060100    2005063023   17.1000        17   1015.00            4.72  2000110706  2000122213                  105           1015       4.77     910.00  2000111115  2000121913                78.1          224.4
    2000060100    2005063023   18.1000        18    214.00            2.60  2000120806  2000122004                   76            286       2.63     210.00  2000121110  2000122004               304.5          322.6
    2000060100    2005063023   19.1000        19    413.00            5.29  2000121504  2001010409                   90            460       5.83     370.00  2000121822  2001010308                84.0          147.8
    2000060100    2005063023   21.1000        21   1079.00            3.05  2001011818  2001030717                  124           1075       3.13     951.00  2001012322  2001030413                81.1          188.3
    2000060100    2005063023   30.1000        30    238.00            6.62  2001040701  2001041923                   73            288       6.74     215.00  2001041002  2001041901               -48.2            0.0
    2000060100    2005063023   31.1000        31    195.00            5.44  2001041522  2001042701                   82            267       5.80     185.00  2001041908  2001042701               147.4          188.4
    2000060100    2005063023   32.1000        32    349.00            2.60  2001041703  2001050416                   73            307       3.43     234.00  2001042004  2001042922                69.2          100.7
    2000060100    2005063023   33.2000        33    223.00            8.88  2001042411  2001050618                   75            295       8.93     220.00  2001042714  2001050618               134.4          191.0
    2000060100    2005063023   39.2000        39    626.00           -2.28  2001061416  2001071318                   99            405       2.24     306.00  2001061819  2001070113               119.5          143.0
    2000060100    2005063023   41.1000        41   1057.00            0.25  2001072621  2001091122                   78            521       4.76     443.00  2001073003  2001081714                90.9          153.1
    2000060100    2005063023   42.1000        42    256.00            2.77  2001082609  2001090901                  112            328       2.44     216.00  2001083101  2001090901                75.8           96.8
    2000060100    2005063023   46.1000        46    839.00            3.34  2001092122  2001102921                  319            911       3.51     592.00  2001100505  2001102921                88.7          159.9
    2000060100    2005063023   51.1000        51    480.00            4.54  2001110415  2001112715                   73            552       4.56     479.00  2001110716  2001112715                85.2          142.9
    2000060100    2005063023   52.4000        52    880.00            1.19  2001113010  2002010902                  166            694       2.97     528.00  2001120708  2001122908               134.7          192.2
    2000060100    2005063023   56.2000        56   1445.00            2.24  2002010413  2002030818                  144            995       2.89     851.00  2002011013  2002021500                62.8          178.5
    2000060100    2005063023   64.6000        64    602.00            5.07  2002042321  2002052123                  220            483      10.57     263.00  2002050301  2002051400                70.9          156.6
    2000060100    2005063023   65.1000        65    494.00            0.77  2002051708  2002060922                  277            566       5.77     289.00  2002052821  2002060922               249.2          301.2
    2000060100    2005063023   67.1000        67    190.00            2.81  2002060109  2002061207                   81            255       2.84     174.00  2002060418  2002061200               -15.8            1.9
    2000060100    2005063023   68.1000        68    867.00           -0.16  2002061002  2002071905                  194            520       8.10     326.00  2002061804  2002070118                87.0          159.3
    2000060100    2005063023   68.0500        68    243.00            7.67  2002061305  2002062608                   73            308       7.64     235.00  2002061606  2002062601               138.5          200.4
    2000060100    2005063023   68.0100        68    259.00            5.19  2002060316  2002061711                  106            331       5.97     225.00  2002060802  2002061711                83.9          118.9
    2000060100    2005063023   71.1000        71    351.00            0.51  2002071519  2002080210                  248            423       3.07     175.00  2002072603  2002080210               147.4          167.4
    2000060100    2005063023   82.1000        82    375.00            0.65  2002092801  2002101616                   73            447       0.64     374.00  2002100102  2002101616                67.8           90.1
    2000060100    2005063023   85.1000        85    554.00            2.23  2002110421  2002113023                  211            614       3.43     403.00  2002111316  2002113011                77.7          115.2
    2000060100    2005063023   89.1000        89    808.00            5.54  2002121112  2003011704                   81            880       5.58     799.00  2002121421  2003011704                67.1          185.5
    2000060100    2005063023   91.2000        91    792.00            2.52  2003011601  2003022101                  351            864       3.47     513.00  2003013016  2003022101               170.2          242.3
    2000060100    2005063023   92.1000        92    373.00            2.90  2003012120  2003020909                   87            402       3.15     315.00  2003012511  2003020714                78.7          112.2
    2000060100    2005063023   93.1000        93    388.00            3.77  2003021011  2003030115                  117            460       4.43     343.00  2003021508  2003030115               131.3          177.5
    2000060100    2005063023   97.3000        97    508.00            3.61  2003032416  2003041720                  165            580       3.57     415.00  2003033113  2003041720               135.7          188.7
    2000060100    2005063023  102.2000       102    672.00            5.46  2003042721  2003052821                   97            744       5.53     647.00  2003050122  2003052821                56.4          174.5
    2000060100    2005063023  116.1000       116    528.00            1.47  2003080421  2003082921                   73            344       4.40     271.00  2003080722  2003081905                69.0          107.6
    2000060100    2005063023  122.1000       122    708.00            3.15  2003092409  2003102621                  148            724       3.55     576.00  2003093013  2003102413                76.9          140.8
    2000060100    2005063023  125.1000       125    616.00            0.14  2003102509  2003112301                  417            688       4.60     271.00  2003111118  2003112301                74.9          110.4
    2000060100    2005063023  128.2000       128   1277.00            3.46  2003112315  2004011820                  360           1349       4.47     989.00  2003120815  2004011820                97.4          238.4
    2000060100    2005063023  131.2000       131    666.00            6.36  2004011810  2004021804                  150            738       6.40     588.00  2004012416  2004021804                50.2          193.4
    2000060100    2005063023  135.6000       135    651.00            4.61  2004022514  2004032617                   73            723       4.60     650.00  2004022815  2004032617                71.8          163.7
    2000060100    2005063023  142.6000       142    392.00            0.53  2004050914  2004052822                  163            464       0.63     301.00  2004051609  2004052822                91.3          104.8
    2000060100    2005063023  142.4000       142    744.00            0.43  2004042422  2004052822                  222            429      11.69     207.00  2004050404  2004051219                80.9          144.0
    2000060100    2005063023  144.5000       144    902.00           -0.25  2004052617  2004070607                  158            329       7.52     171.00  2004060207  2004060910               121.9          165.8
    2000060100    2005063023  149.1000       149    592.00            4.33  2004071600  2004081216                  212            488       6.55     276.00  2004072420  2004080508                95.9          171.9
    2000060100    2005063023  152.1000       152    369.00            0.35  2004081922  2004090707                   73            376       0.45     303.00  2004082223  2004090414                80.8           94.0
    2000060100    2005063023  157.1000       157    483.00            8.41  2004091720  2004101023                   73            542       8.15     469.00  2004092021  2004101010                72.1          205.4
    2000060100    2005063023  159.1000       159    944.00            0.50  2004101508  2004112616                   73            873       0.84     800.00  2004101809  2004112017                57.3           87.1
    2000060100    2005063023  165.2000       165    867.00            1.29  2004121913  2005012716                  140            456       7.17     316.00  2004122509  2005010713               112.4          170.2
    2000060100    2005063023  167.2000       167    856.00            0.94  2005012005  2005022721                  203            869       1.38     666.00  2005012816  2005022510               189.6          227.4
    2000060100    2005063023  170.1000       170    289.00            2.42  2005021600  2005030301                   74            361       2.39     287.00  2005021902  2005030301                62.7           91.3
    2000060100    2005063023  172.3000       172    747.00            3.93  2005032404  2005042707                  168            724       4.87     556.00  2005033104  2005042308                93.6          183.8
    2000060100    2005063023  174.2000       174    425.00            5.01  2005042606  2005051623                  117            485       5.40     368.00  2005050103  2005051611                69.7          131.2
    2000060100    2005063023  175.2000       175    247.00            5.07  2005051012  2005052319                   73            319       5.09     246.00  2005051313  2005052319               278.1          309.1
