begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    1998010400    2000063023    0.1000         0    981.00            2.86  1998010100  1998021321                  658           1049       8.72     391.00  1998012810  1998021317               190.8          290.3
    1998010400    2000063023    0.1000         0    981.00            2.86  1998010100  1998021321                  156            398       7.57     242.00  1998010712  1998011714               171.6          219.4
    1998010400    2000063023    1.1000         1    210.00            7.84  1998010711  1998011905                   73            282       7.85     209.00  1998011012  1998011905                50.4           96.5
    1998010400    2000063023    4.1000         4    531.00            2.14  1998012821  1998022300                  373            603       6.70     230.00  1998021310  1998022300                60.8          109.4
    1998010400    2000063023    5.1000         5    719.00            5.33  1998021710  1998032209                   73            784       5.33     711.00  1998022011  1998032202               139.8          258.2
    1998010400    2000063023    5.0700         5   1143.00           -0.83  1998020622  1998032913                  165            457       1.40     292.00  1998021319  1998022523               195.3          217.9
    1998010400    2000063023    5.0700         5   1143.00           -0.83  1998020622  1998032913                  997           1215       2.90     218.00  1998032011  1998032913               160.7          178.7
    1998010400    2000063023   10.1000        10    510.00            2.26  1998032908  1998042214                   86            582       2.20     496.00  1998040122  1998042214                59.1          104.5
    1998010400    2000063023   12.1000        12    642.00            3.22  1998040905  1998050823                  137            714       3.29     577.00  1998041422  1998050823               217.0          290.9
    1998010400    2000063023   12.2000        12    500.00           -0.33  1998040905  1998050301                  317            572       2.89     255.00  1998042210  1998050301               202.2          229.2
    1998010400    2000063023   14.3000        14    728.00           13.01  1998042916  1998060200                  146            800      14.26     654.00  1998050518  1998060200                44.8          314.9
    1998010400    2000063023   14.2000        14    574.00            2.90  1998042916  1998052614                  412            643       1.99     231.00  1998051620  1998052611                79.9           94.1
    1998010400    2000063023   19.1000        19    610.00            0.10  1998060205  1998063015                  309            670       0.11     361.00  1998061502  1998063003               252.7          277.3
    1998010400    2000063023   23.1000        23    891.00            0.21  1998071003  1998081906                   73            475       1.78     402.00  1998071304  1998072922                76.2          106.0
    1998010400    2000063023   28.4000        28   1091.00           -1.63  1998082308  1998101019                  630            909       5.07     279.00  1998091814  1998093005                86.2          131.4
    1998010400    2000063023   32.1000        32    498.00            1.55  1998101807  1998111101                   76            514       1.80     438.00  1998102111  1998110817                69.7          101.8
    1998010400    2000063023   38.2000        38    623.00            2.04  1998121114  1999010913                  335            695       3.54     360.00  1998122513  1999010913                96.6          150.4
    1998010400    2000063023   40.4000        40    904.00            3.34  1999011605  1999022521                  169            865       4.29     696.00  1999012306  1999022106                85.8          187.4
    1998010400    2000063023   45.2000        45    653.00            1.71  1999031002  1999040907                   93            504       3.41     411.00  1999031323  1999033102                97.1          137.6
    1998010400    2000063023   50.4000        50    587.00            2.39  1999051519  1999061206                   73            659       2.38     586.00  1999051820  1999061206                86.4          148.7
    1998010400    2000063023   55.1000        55    320.00            0.38  1999061117  1999062801                   73            267       0.80     194.00  1999061418  1999062220               258.8          271.1
    1998010400    2000063023   66.1000        66    646.00            0.13  1999081514  1999091412                   78            318       6.48     240.00  1999081820  1999082820                73.1          121.5
    1998010400    2000063023   71.1000        71    888.00            0.23  1999091303  1999102303                   88            399       1.85     311.00  1999091619  1999092918                70.5           93.1
    1998010400    2000063023   75.1000        75    558.00           -0.39  1999101301  1999110807                  343            530       1.53     187.00  1999102708  1999110403               102.7          114.3
    1998010400    2000063023   81.2000        81    609.00            3.91  1999112319  1999122204                  149            598       4.90     449.00  1999113000  1999121817                72.6          146.5
    1998010400    2000063023   84.1000        84    470.00            4.13  1999122205  2000011319                  265            488       7.38     223.00  2000010206  2000011113                77.0          126.1
    1998010400    2000063023   85.1000        85    676.00            1.81  2000011816  2000021820                  112            339       4.60     227.00  2000012308  2000020119                85.3          133.9
    1998010400    2000063023   87.1000        87    224.00            4.57  2000012221  2000020405                   73            276       4.58     203.00  2000012522  2000020309                59.0           85.8
    1998010400    2000063023   89.1000        89    551.00            3.91  2000021302  2000031001                   73            385       4.80     312.00  2000021603  2000022903                72.1          142.4
    1998010400    2000063023   93.1000        93    186.00            7.39  2000032215  2000040209                   73            258       7.38     185.00  2000032516  2000040209               288.3          332.5
    1998010400    2000063023  100.1000       100    401.00            9.55  2000050507  2000052500                  268            449      23.90     181.00  2000051611  2000052400              -116.0           -5.1
    1998010400    2000063023  104.1000       104    364.00            1.72  2000060723  2000062603                  175            414       1.14     239.00  2000061506  2000062505               254.9          281.9
    1998010400    2000063023  105.1000       105    266.00            1.97  2000061621  2000063023                   74            307       3.59     233.00  2000061923  2000062916               103.6          140.2
