begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2020060100    2025063023    0.1000         0    201.00            0.31  2020052900  2020060909                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    1.1000         1    221.00            1.62  2020053013  2020061118                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    2.1000         2    334.00           -3.17  2020060122  2020061820                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    3.1000         3    296.00            3.32  2020061523  2020070107                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    3.2000         3    562.00           -0.82  2020060421  2020070107                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    4.1000         4    173.00            0.91  2020061907  2020062912                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    6.1000         6    236.00           -3.56  2020062717  2020071013                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    8.1000         8    182.00           -2.58  2020081913  2020083003                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023    9.2000         9    244.00           -1.43  2020082321  2020090601                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   10.1000        10    277.00           -3.15  2020091016  2020092505                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   12.1000        12    219.00           -1.06  2020092818  2020101021                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   13.1000        13    416.00           -2.06  2020102514  2020111422                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   14.1000        14    444.00            0.13  2020102920  2020112008                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   16.1000        16    225.00           -4.40  2020112401  2020120610                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   17.1000        17    399.00            2.03  2020120213  2020122204                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   21.1000        21    173.00            0.31  2021013022  2021021003                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   22.1000        22    250.00           -0.69  2021020717  2021022103                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   23.1000        23    271.00            0.55  2021021012  2021022419                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   24.1000        24    184.00            3.75  2021031609  2021032701                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2020060100    2025063023   26.1000        26    201.00           -0.62  2021042405  2021050514                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
