begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2010060100    2015063023  173.1000       173    579.00            2.55  2014081519  2014091122                   73            488       3.92     415.00  2014081820  2014090503                64.1          121.8
    2010060100    2015063023  186.3000       186    989.00            1.05  2014102604  2014120909                   73            904       0.27     831.00  2014102905  2014120220                79.9          132.8
    2010060100    2015063023  187.4000       187    868.00            2.23  2014121117  2015011921                  109            819       3.08     710.00  2014121606  2015011420                91.3          155.1
    2010060100    2015063023  192.1000       192    212.00            2.87  2015010906  2015012102                   73            284       2.87     211.00  2015011207  2015012102               230.6          250.2
    2010060100    2015063023  199.2000       199    424.00            2.44  2015022709  2015032001                   91            491       2.39     400.00  2015030304  2015031920               149.5          188.4
    2010060100    2015063023  203.1000       203    643.00            2.20  2015032502  2015042321                  316            696       3.28     380.00  2015040706  2015042302                78.8          118.9
    2010060100    2015063023  206.1000       206    185.00           11.97  2015042118  2015050211                   73            257      12.00     184.00  2015042419  2015050211               212.6          274.9
    2010060100    2015063023  207.1000       207    381.00            7.88  2015042806  2015051703                   73            430       7.74     357.00  2015050107  2015051604               156.1          241.8
    2010060100    2015063023  211.1000       211    607.00            1.77  2015051807  2015061514                   73            541       2.38     468.00  2015052108  2015060920               228.3          276.3
    2010060100    2015063023  212.4000       212    660.00            4.35  2015053111  2015063023                   73            719       4.31     646.00  2015060312  2015063010                64.7          163.4
    2010060100    2015063023  213.1000       213    210.00            9.72  2015060804  2015061922                   73            260       9.13     187.00  2015061105  2015061900               136.8          205.9
