LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.1000
        1998010400 17877596      -4.63     198.21  1
        1998010401 17852518      -4.64     198.23  1
        1998010402 17809488      -4.65     198.26  1
        1998010403 17780562      -4.67     198.29  1
        1998010404 17741822      -4.68     198.34  1
        1998010405 17715914      -4.70     198.38  1
        1998010406 17697432      -4.73     198.43  1
        1998010407 17689664      -4.76     198.46  1
        1998010408 17668230      -4.78     198.52  1
        1998010409 17641088      -4.81     198.58  1
        1998010410 17598960      -4.85     198.63  1
        1998010411 17554458      -4.89     198.65  1
        1998010412 17520914      -4.94     198.68  1
        1998010413 17489112      -4.99     198.65  1
        1998010414 17479818      -5.04     198.63  1
        1998010415 17488990      -5.09     198.63  1
        1998010416 17509636      -5.13     198.63  1
        1998010417 17509042      -5.17     198.65  1
        1998010418 17494446      -5.21     198.70  1
        1998010419 17481068      -5.25     198.75  1
        1998010420 17459724      -5.30     198.76  1
        1998010421 17434778      -5.35     198.75  1
        1998010422 17394128      -5.39     198.77  1
        1998010423 17370644      -5.45     198.75  1
        1998010500 17361312      -5.50     198.73  1
        1998010501 17361664      -5.55     198.70  1
        1998010502 17376018      -5.61     198.66  1
        1998010503 17382210      -5.66     198.60  1
        1998010504 17371166      -5.71     198.57  1
        1998010505 17220190      -5.71     198.93  1
        1998010506 16708736      -5.53     200.37  1
        1998010507 16445168      -5.48     200.98  1
        1998010508 16373014      -5.54     200.92  1
        1998010509 10737856      -8.06     181.89  1
        1998010510 10689518      -8.14     181.70  1
        1998010511 10661278      -8.21     181.54  1
        1998010512 10634977      -8.28     181.38  1
        1998010513 10624954      -8.35     181.21  1
        1998010514 10616115      -8.41     181.07  1
        1998010515 10608928      -8.47     180.92  1
        1998010516 10601857      -8.53     180.79  1
        1998010517 10593164      -8.59     180.65  1
        1998010518 10579357      -8.65     180.52  1
        1998010519 10560034      -8.70     180.40  1
        1998010520 10535588      -8.77     180.28  1
        1998010521 10511513      -8.83     180.18  1
        1998010522 10483424      -8.90     180.05  1
        1998010523 10458684      -8.96     179.92  1
        1998010600 10430479      -9.03     179.79  1
        1998010601 10403372      -9.10     179.65  1
        1998010602 10381794      -9.18     179.49  1
        1998010603 10358388      -9.26     179.33  1
        1998010604 10331137      -9.35     179.15  1
        1998010605 10305948      -9.43     178.97  1
        1998010606 10269936      -9.52     178.77  1
        1998010607 10229838      -9.62     178.57  1
        1998010608 10183186      -9.72     178.36  1
        1998010609 10145614      -9.81     178.19  1
        1998010610 10120393      -9.90     178.02  1
        1998010611 10087368      -9.98     177.85  1
        1998010612 10052927     -10.07     177.67  1
        1998010613 10000515     -10.18     177.43  1
        1998010614  9931037     -10.29     177.16  1
        1998010615  9848656     -10.42     176.87  1
        1998010616  9745993     -10.56     176.55  1
        1998010617  9627496     -10.72     176.17  1
        1998010618  9507265     -10.89     175.77  1
        1998010619  9377401     -11.06     175.36  1
        1998010620  9243455     -11.24     174.90  1
        1998010621  9113219     -11.41     174.49  1
        1998010622  8996844     -11.56     174.11  1
        1998010623  8888691     -11.69     173.75  1
        1998010700  8395597     -12.22     172.02  1
        1998010701  8365270     -12.28     171.94  1
        1998010702  8341091     -12.33     171.85  1
        1998010703  8329286     -12.39     171.78  1
        1998010704  8319362     -12.45     171.73  1
        1998010705  8317113     -12.51     171.68  1
        1998010706  8318364     -12.58     171.64  1
        1998010707  8321373     -12.64     171.61  1
        1998010708  8322797     -12.70     171.59  1
        1998010709  8325795     -12.77     171.58  1
        1998010710  8333309     -12.84     171.56  1
        1998010711  8341653     -12.90     171.55  1
        1998010712  8356128     -12.97     171.56  1
        1998010713  8367418     -13.04     171.56  1
        1998010714  8378420     -13.12     171.57  1
        1998010715  8391590     -13.21     171.59  1
        1998010716  8400803     -13.28     171.61  1
        1998010717  8407095     -13.36     171.64  1
        1998010718  8406824     -13.44     171.68  1
        1998010719  8396383     -13.53     171.71  1
        1998010720  8386412     -13.61     171.75  1
        1998010721  8364376     -13.69     171.78  1
        1998010722  8341670     -13.77     171.81  1
        1998010723  8330549     -13.86     171.86  1
        1998010800  8326221     -13.96     171.92  1
        1998010801  8315073     -14.06     171.96  1
        1998010802  8317210     -14.17     172.02  1
        1998010803  8320855     -14.29     172.08  1
