begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2005060100    2010063023   12.4000        12    784.00            1.53  2005082600  2005093016                   73            602       2.24     529.00  2005082901  2005092002                70.4          128.4
    2005060100    2010063023   17.1000        17    264.00            3.15  2005100303  2005101703                   73            336       3.13     263.00  2005100604  2005101703                69.6          100.0
    2005060100    2010063023   24.1000        24    337.00            1.62  2005111110  2005112811                  106            315       3.24     209.00  2005111520  2005112413                88.7          107.2
    2005060100    2010063023   26.1000        26    490.00            2.28  2005120620  2005123006                   88            445       2.81     357.00  2005121012  2005122509                82.6          126.8
    2005060100    2010063023   26.3000        26    596.00           -1.13  2005120210  2005123006                   79            261       2.32     182.00  2005120517  2005121307               135.2          147.1
    2005060100    2010063023   30.3000        30    782.00            2.53  2006011100  2006021514                  169            854       2.72     685.00  2006011801  2006021514               128.7          186.2
    2005060100    2010063023   30.2000        30   1047.00            0.67  2006011100  2006022615                  830           1067       2.62     237.00  2006021414  2006022411               144.0          165.2
    2005060100    2010063023   32.1000        32    847.00            3.03  2006021801  2006032808                   73            919       3.03     846.00  2006022102  2006032808                77.7          175.7
    2005060100    2010063023   37.1000        37    825.00           -1.15  2006041209  2006051918                  302            530       3.68     228.00  2006042423  2006050411               132.9          158.2
    2005060100    2010063023   41.1000        41    239.00            5.65  2006051409  2006052708                   96            311       6.11     215.00  2006051809  2006052708                88.9          131.2
    2005060100    2010063023   44.1000        44    208.00            3.65  2006060921  2006062113                   91            260       4.16     169.00  2006061316  2006062017               129.4          149.7
    2005060100    2010063023   45.5000        45    931.00            0.80  2006061118  2006072313                   76            557       5.48     481.00  2006061422  2006070423                73.8          154.3
    2005060100    2010063023   55.6000        55   1037.00            2.71  2006090201  2006101806                   92            837       3.50     745.00  2006090521  2006100622                74.1          162.6
    2005060100    2010063023   58.1000        58    388.00            2.87  2006100303  2006102207                  164            460       3.02     296.00  2006100923  2006102207               237.8          266.6
    2005060100    2010063023   60.1000        60    231.00            1.71  2006101422  2006102713                  100            303       2.19     203.00  2006101902  2006102713               166.9          185.1
    2005060100    2010063023   63.1000        63    517.00            0.97  2006111306  2006120719                  333            589       2.65     256.00  2006112703  2006120719                64.7           90.3
    2005060100    2010063023   68.3000        68   1447.00            2.54  2006121210  2007021317                  164           1056       5.10     892.00  2006121906  2007012510                66.6          199.6
    2005060100    2010063023   68.3000        68   1447.00            2.54  2006121210  2007021317                 1212           1501       1.27     289.00  2007013122  2007021223               160.4          170.9
    2005060100    2010063023   69.0000        69   1054.00            0.91  2006122511  2007021009                  199            743       5.06     544.00  2007010218  2007012510               125.8          199.6
    2005060100    2010063023   69.1000        69    266.00            5.77  2007011221  2007012623                   79            331       5.87     252.00  2007011604  2007012616                67.7          112.2
    2005060100    2010063023   78.1000        78    291.00            5.22  2007050301  2007051804                   73            280       7.73     207.00  2007050602  2007051417               118.1          165.4
    2005060100    2010063023   79.1000        79    179.00            2.07  2007052007  2007053018                   73            251       2.06     178.00  2007052308  2007053018               246.7          259.6
    2005060100    2010063023   82.1000        82    547.00            2.44  2007062218  2007071813                  157            366       8.30     209.00  2007062907  2007070800                96.4          152.7
    2005060100    2010063023   83.2000        83    886.00            1.34  2007071221  2007082119                   73            414       5.44     341.00  2007071522  2007073003                74.4          128.7
    2005060100    2010063023   95.2000        95   1566.00            2.35  2007120219  2008020901                   75           1004       3.42     929.00  2007120522  2008011315                65.7          178.9
    2005060100    2010063023   98.1000        98   1034.00            3.89  2008011622  2008030300                  135            926       4.70     791.00  2008012213  2008022412                51.3          181.4
    2005060100    2010063023  106.1000       106    336.00            4.10  2008032304  2008040904                   73            408       4.10     335.00  2008032605  2008040904               121.1          174.0
    2005060100    2010063023  108.1000       108    466.00            0.45  2008041304  2008050514                  118            538       0.31     420.00  2008041802  2008050514                86.7           99.4
    2005060100    2010063023  111.1000       111    397.00            1.29  2008051509  2008060322                  261            469       7.07     208.00  2008052606  2008060322               268.9          309.2
    2005060100    2010063023  113.3000       113    596.00            6.14  2008053104  2008062800                  158            668       5.90     510.00  2008060618  2008062800                64.8          170.6
    2005060100    2010063023  114.1000       114    582.00            0.61  2008062307  2008072013                  165            558       0.90     393.00  2008063004  2008071613               248.3          275.9
    2005060100    2010063023  116.1000       116    278.00            0.74  2008070805  2008072219                   73            290       0.83     217.00  2008071106  2008072007                79.1           91.5
    2005060100    2010063023  117.2000       117    396.00            1.39  2008071723  2008080611                   73            346       2.89     273.00  2008072100  2008080109                64.6           93.0
    2005060100    2010063023  119.1000       119    673.00            1.74  2008081805  2008091806                  107            745       1.91     638.00  2008082216  2008091806                93.3          128.4
    2005060100    2010063023  123.1000       123    790.00            1.53  2008092913  2008110411                   73            740       1.68     667.00  2008100214  2008103009                73.0          126.0
    2005060100    2010063023  126.2000       126   1034.00           -0.03  2008110305  2008121907                  749            967       3.10     218.00  2008120410  2008121312                92.9          121.4
