begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2025060100    2026081823    0.2000         0    808.00            1.17  2025052911  2025070503                  475            718       7.49     243.00  2025061806  2025062809                90.4          158.6
    2025060100    2026081823    5.1000         5    240.00            4.09  2025072513  2025080713                   75            312       4.05     237.00  2025072816  2025080713                66.2           96.7
    2025060100    2026081823    7.3000         7    718.00            0.28  2025090121  2025100419                   80            570       2.26     490.00  2025090505  2025092515                87.3          117.5
    2025060100    2026081823   12.4000        12    820.00            3.05  2025100822  2025111502                   73            670       3.39     597.00  2025101123  2025110520                75.2          143.3
    2025060100    2026081823   14.2000        14    561.00            3.77  2025110123  2025112808                   73            625       3.69     552.00  2025110500  2025112800               100.6          180.8
    2025060100    2026081823   16.1000        16    356.00            3.35  2025112908  2025121704                  156            428       3.80     272.00  2025120520  2025121704               136.8          173.0
    2025060100    2026081823   17.1000        17    335.00            0.83  2025120420  2025122119                  181            407       3.29     226.00  2025121209  2025122119                89.5          113.2
    2025060100    2026081823   20.3000        20    735.00            3.67  2025122119  2026012410                   73            807       3.67     734.00  2025122420  2026012410                89.2          183.4
    2025060100    2026081823   25.1000        25    441.00            3.35  2026020519  2026022704                   73            388       4.36     315.00  2026020820  2026022123                71.6          124.6
    2025060100    2026081823   28.3000        28    756.00           -0.30  2026022116  2026032804                  521            828       2.79     307.00  2026031509  2026032804               141.7          170.9
    2025060100    2026081823   33.1000        33    397.00            1.00  2026043014  2026052003                  141            469       1.27     328.00  2026050611  2026052003                82.8           97.6
    2025060100    2026081823   35.2000        35    233.00            4.22  2026052202  2026060319                  130            303       6.19     173.00  2026052712  2026060317               133.4          160.8
    2025060100    2026081823   39.1000        39    450.00            1.07  2026072718  2026081812                   73            327       3.23     254.00  2026073019  2026081009                69.1           94.3
