begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2015060100    2020063023    3.1000         3    205.00           -3.54  2015062900  2015071013                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    4.1000         4    240.00           -3.31  2015070315  2015071615                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    6.1000         6    233.00           -3.63  2015072213  2015080406                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    7.1000         7    184.00            6.36  2015080209  2015081301                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    8.1000         8    515.00           -1.06  2015080321  2015082808                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    8.2000         8    496.00           -3.72  2015080321  2015082713                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023    9.1000         9    173.00            2.69  2015081213  2015082218                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   10.1000        10    320.00           -2.53  2015081914  2015090422                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   11.1000        11    220.00            1.00  2015082302  2015090406                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   13.1000        13    403.00           -1.47  2015090513  2015092508                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   15.1000        15    278.00           -4.67  2015092016  2015100506                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   16.1000        16    202.00           -0.52  2015092514  2015100700                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   17.1000        17    277.00           -1.28  2015092908  2015101321                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   18.1000        18    327.00           -2.00  2015101116  2015102807                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   19.1000        19    197.00           -2.93  2015101504  2015102609                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   21.1000        21    609.00           -1.71  2015102902  2015112611                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   22.1000        22    333.00           -3.43  2015110420  2015112117                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   23.1000        23    404.00            2.03  2015110919  2015112915                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   26.1000        26    202.00           -0.06  2015113008  2015121118                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   28.1000        28    385.00           -0.14  2016010821  2016012722                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   31.1000        31    199.00            6.35  2016013014  2016021021                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   32.1000        32    176.00           -0.65  2016022205  2016030313                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   35.1000        35    277.00            3.14  2016041303  2016042716                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   37.1000        37    193.00           -0.53  2016052603  2016060604                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   38.1000        38    234.00           -3.23  2016052808  2016061002                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   39.1000        39    309.00            3.56  2016053100  2016061521                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   41.1000        41    457.00           -0.64  2016062718  2016071919                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   42.1000        42    293.00           -2.66  2016062721  2016071302                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   43.1000        43    194.00           -3.79  2016070707  2016071809                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   44.1000        44    279.00            0.72  2016071108  2016072523                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   45.1000        45    351.00           -0.17  2016072600  2016081215                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2015060100    2020063023   45.2000        45    503.00           -4.17  2016071916  2016081215                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
