begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2005060100    2010063023    0.1000         0    483.00           -3.47  2005053009  2005062212                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    0.2000         0    537.00           -0.78  2005053009  2005062418                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    1.1000         1    191.00            3.43  2005060602  2005061701                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    2.1000         2    173.00            0.43  2005061313  2005062318                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    3.1000         3    324.00           -0.96  2005061612  2005070300                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    4.1000         4    371.00           -0.10  2005062108  2005070919                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    5.1000         5    239.00            1.01  2005062420  2005070719                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    6.1000         6    198.00           -5.64  2005070108  2005071214                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    7.1000         7    234.00           -2.52  2005070620  2005071914                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    8.1000         8    253.00           -2.51  2005070822  2005072211                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023    9.1000         9    192.00           -5.46  2005071105  2005072205                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   10.1000        10    297.00            2.72  2005080419  2005082004                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   10.2000        10    842.00           -1.31  2005071302  2005082004                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   11.1000        11    303.00           -1.74  2005081106  2005082621                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   13.1000        13    382.00            1.54  2005090916  2005092814                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   14.1000        14    220.00            0.53  2005091606  2005092810                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   15.1000        15    294.00           -0.15  2005091808  2005100314                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   16.1000        16    155.00           -0.40  2005092916  2005100903                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   18.1000        18    251.00            0.94  2005101411  2005102722                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   19.1000        19    367.00            1.21  2005101614  2005110321                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   20.1000        20    213.00            1.71  2005102608  2005110705                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   21.1000        21    179.00           -5.92  2005102823  2005110810                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   22.1000        22    301.00           -2.10  2005110602  2005112115                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   23.1000        23    226.00           -1.13  2005110813  2005112023                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   25.1000        25    220.00           -2.88  2005112701  2005120905                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   27.1000        27    252.00           -3.17  2005120508  2005121820                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   28.1000        28    244.00           -6.35  2006010306  2006011610                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   29.1000        29    210.00           -0.70  2006010520  2006011714                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   31.1000        31    239.00            0.67  2006020703  2006022002                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   33.1000        33    289.00            0.25  2006022317  2006031018                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   34.1000        34    198.00            0.49  2006030310  2006031416                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   35.1000        35    220.00            0.10  2006031521  2006032801                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   36.1000        36    294.00            0.47  2006032314  2006040720                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   38.1000        38    212.00            6.24  2006041710  2006042906                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   39.1000        39    244.00           -0.12  2006041718  2006043022                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   40.1000        40    174.00            6.56  2006042912  2006050918                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   42.1000        42    179.00            2.32  2006052115  2006060102                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   43.1000        43    347.00            2.09  2006052900  2006061511                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   46.1000        46    189.00            7.98  2006062707  2006070804                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   47.1000        47    204.00            4.11  2006070521  2006071709                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   48.1000        48    342.00           -1.60  2006072315  2006080921                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   48.2000        48    637.00           -4.23  2006071108  2006080921                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   49.1000        49    217.00           -2.97  2006071503  2006072704                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   50.1000        50    346.00            6.69  2006080519  2006082305                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2005060100    2010063023   50.2000        50    582.00           -0.81  2006072623  2006082305                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
