begin_tracking  end_tracking     lptid  lptgroup  duration  mean_zonal_spd   lpt_begin     lpt_end      eprop_begin_idx  eprop_end_idx  eprop_spd  eprop_dur eprop_begin   eprop_end     eprop_lon_begin  eprop_lon_end
    2000060100    2005063023    0.1000         0    291.00           -4.53  2000052900  2000061303                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    0.2000         0    471.00            0.33  2000052900  2000062015                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    0.3000         0    256.00           -4.27  2000060623  2000062015                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    4.1000         4    202.00           -0.67  2000072315  2000080401                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    5.1000         5    190.00            0.38  2000072815  2000080813                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    6.1000         6    235.00           -2.08  2000080101  2000081320                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    7.1000         7    275.00           -0.89  2000080316  2000081803                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    7.2000         7    511.00           -2.08  2000080316  2000082723                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    7.3000         7    645.00           -0.08  2000080316  2000090213                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    7.4000         7    766.00           -1.91  2000080316  2000090714                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    7.5000         7    376.00            2.30  2000081922  2000090714                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    8.1000         8    211.00           -4.56  2000081910  2000083105                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023    9.1000         9    281.00           -3.76  2000082723  2000091116                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   10.1000        10    334.00           -1.71  2000090105  2000091803                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   12.1000        12    182.00           -0.18  2000091107  2000092121                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   13.1000        13    217.00           -0.07  2000091514  2000092715                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   14.1000        14    305.00           -1.03  2000092123  2000100716                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   16.1000        16    339.00           -0.60  2000101901  2000110504                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   20.1000        20    501.00           -3.35  2000123021  2001012318                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   22.1000        22    176.00            0.19  2001022201  2001030409                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   23.1000        23    221.00           -1.38  2001022209  2001030614                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   24.1000        24    306.00           -0.90  2001022722  2001031516                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   25.1000        25    198.00           -2.08  2001030202  2001031308                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   26.1000        26    278.00           -1.26  2001030518  2001032008                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   27.1000        27    206.00           -3.09  2001032722  2001040812                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   28.1000        28    211.00            4.94  2001032820  2001040915                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   29.1000        29    397.00           -4.11  2001033006  2001041819                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   34.1000        34    211.00            5.28  2001050104  2001051223                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   35.1000        35    286.00            2.94  2001050710  2001052208                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   35.2000        35    249.00           11.18  2001050710  2001052019                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   36.1000        36    230.00            0.70  2001051610  2001052900                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   37.1000        37    375.00           -0.35  2001051718  2001060509                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   38.1000        38    177.00            7.14  2001052115  2001060100                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   38.2000        38    659.00           -0.32  2001052115  2001062102                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   38.3000        38    348.00            2.10  2001060314  2001062102                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   40.1000        40    169.00            3.28  2001070401  2001071402                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   43.1000        43    266.00           -2.46  2001083010  2001091312                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   44.1000        44    333.00            3.58  2001091715  2001100412                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   45.1000        45    257.00            1.53  2001091913  2001100306                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   47.1000        47    281.00            0.22  2001101713  2001110106                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   48.1000        48    327.00            2.74  2001102506  2001111021                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
    2000060100    2005063023   49.1000        49    276.00           -1.07  2001102918  2001111306                 -999           -999    -999.00    -999.00  9999999999  9999999999              -999.0         -999.0
